"","varr","auc_1","auc_2","auc_3"
"1",NA,NA,NA,NA
"2","pc_wins_2019_2018_away",0.639881009894102,0.646609781336409,0.620526315789474
"3","mean_shotsOnTarget_past_away",0.648590283682461,0.662046854060289,0.641371052631579
"4","pc_wins_prv_home",0.646160238076834,0.630290590171165,0.662668421052632
"5","mean_deep_past_away",0.651892343665456,0.630621384586677,0.631257894736842
"6","pc_wins_prv_away",0.647168731158692,0.642241598670037,0.664360526315789
"7","mean_goals_away",0.639179291953312,0.666873059763524,0.644202631578947
"8","mean_deep_away",0.636520976656103,0.651978829157407,0.643344736842105
"9","pc_wins_2019_2018_home",0.619788445930277,0.622631427165855,0.627828947368421
"10","mean_corners_past_away",0.643353366313674,0.61589679214236,0.649728947368421
"11","mean_shotsOnTarget_away",0.635807180953853,0.667856961101969,0.655202631578947
"12","mean_corners_away",0.630036426528561,0.600137406911059,0.593618421052632
"13","mean_shots_away",0.625943273169978,0.6196118678858,0.58828947368421
"14","mean_goals_past_home",0.625878053258097,0.634506098491917,0.668673684210526
"15","mean_ppda_past_away",0.633073983535596,0.624836723269267,0.623352631578947
"16","mean_shotsOnTarget_curr_away",0.621005884285383,0.645295085582453,0.651271052631579
"17","mean_deep_curr_away",0.617881367395841,0.633657907682912,0.662773684210526
"18","mean_shots_curr_away",0.618893483806137,0.645507133284704,0.658768421052632
"19","mean_goals_home",0.610091211254541,0.638441703845697,0.664147368421053
"20","mean_goals_curr_away",0.616910315374507,0.620578805408065,0.634707894736842
"21","mean_deep_past_home",0.597061722192162,0.601681114183447,0.619078947368421
"22","mean_shotsOnTarget_home",0.605223873386411,0.629060713498109,0.641242105263158
"23","mean_deep_home",0.59943500231893,0.58491238188943,0.623684210526316
"24","mean_corners_past_home",0.61415900131406,0.599085650307893,0.648673684210526
"25","mean_corners_curr_away",0.615494801731468,0.611604946648798,0.659947368421053
"26","cnt_prv_wins_away",0.606556050475381,0.605370744202616,0.636205263157895
"27","mean_shots_past_home",0.60372260763701,0.603207857639655,0.631742105263158
"28","mean_ppda_past_home",0.599878256164489,0.608814398887174,0.644613157894737
"29","mean_ppda_away",0.595740415088506,0.617661029025089,0.624373684210526
"30","mean_deep_curr_home",0.592990308804205,0.588635939540959,0.644013157894737
"31","mean_corners_home",0.60559586843936,0.537362805136644,0.615921052631579
"32","mean_shots_home",0.593923919765015,0.597448642046515,0.641471052631579
"33","cnt_prv_wins_home",0.604988357037953,0.562596481704524,0.646042105263158
"34","mean_ppda_home",0.576260193630672,0.601502994113556,0.608223684210526
"35","mean_ppda_curr_away",0.605920760222617,0.544572427013181,0.583652631578947
"36","mean_fouls_away",0.588737728994357,0.563359853432628,0.540331578947368
"37","mean_goals_curr_home",0.578930586689341,0.562545590255984,0.627960526315789
"38","mean_ppda_curr_home",0.58922446278117,0.557134132894536,0.622131578947368
"39","mean_shotsOnTarget_curr_home",0.578022339027595,0.543011755924613,0.635065789473684
"40","mean_corners_curr_home",0.574482347143851,0.542731852957641,0.608355263157895
"41","mean_shots_curr_home",0.555967138826621,0.615693226348199,0.65988947368421
"42","mean_redCards_away",0.549704819509933,0.533308453069603,0.54671052631579
"43","mean_yellowCards_home",0.561712529952848,0.563393781064988,0.536536842105263
"44","mean_fouls_home",0.578304958645745,0.538066803508117,0.566776315789474
"45","mean_redCards_home",0.539404904537373,0.561527761285179,0.546821052631579
"46","mean_yellowCards_away",0.564359975264745,0.545598737892076,0.531578947368421
"47","mean_fouls_past_away",0.550219332148102,0.543580043766646,0.585855263157895
"48","mean_fouls_past_home",0.568253845559249,0.505038253405486,0.565131578947368
"49","mean_fouls_curr_away",0.519584090206385,0.589696178052215,0.540328947368421
"50","mean_redCards_curr_away",0.538639174460849,0.556404688798792,0.529742105263158
"51","mean_yellowCards_past_away",0.537606525856072,0.53081477209113,0.558289473684211
"52","mean_redCards_past_away",0.534588293267373,0.505445384993808,0.49703947368421
"53","mean_yellowCards_curr_away",0.513027073510087,0.54448760793228,0.528815789473684
"54","mean_yellowCards_past_home",0.533326167194867,0.510314000237493,0.531513157894737
"55","days_since_prv_game_home",0.523630140295277,0.530568796756518,0.484539473684211
