"","varr","psi_1","psi_2","psi_3"
"1",NA,NA,NA,NA
"2","pc_wins_2019_2018_away",0.000341208144905865,0.0025241738430995,0.00000319645055836692
"3","mean_shotsOnTarget_past_away",0.00236729526129613,0.0175156193160555,0.0574997539559737
"4","pc_wins_prv_home",0.000478559384608621,0.00336948745457189,0.0141079597715714
"5","mean_deep_past_away",0.000377831004215092,0.00268296277988503,0.00300417764450926
"6","pc_wins_prv_away",0.000148817889887168,0.00105963179422285,0.00237148933914747
"7","mean_goals_away",0.00622961210191567,0.0431257695724494,0.0180340099685585
"8","mean_deep_away",0.00181763170517766,0.0137811337371807,0.0344213222974205
"9","pc_wins_2019_2018_home",0.000042181410184465,0.000306760451006021,0.000747883359788026
"10","mean_corners_past_away",0.00148542903195665,0.0104196677116949,0.0290856649030928
"11","mean_shotsOnTarget_away",0.00561116468484548,0.0421462756879796,0.020055001031324
"12","mean_corners_away",0.0000147130125833621,0.000105527773356427,0.000846282554357156
"13","mean_shots_away",0.00992346482172256,0.0850049280910349,0.000000360187026736213
"14","mean_goals_past_home",0.00137101628611204,0.00983057681107782,0.0138888186000298
"15","mean_ppda_past_away",0.0032935989242787,0.0229008457983835,0.0205403779048167
"16","mean_shotsOnTarget_curr_away",0.00465440813985738,0.0342825673928035,0.0282657217342383
"17","mean_deep_curr_away",0.00487112723535608,0.0382293408730125,0.0673208477839488
"18","mean_shots_curr_away",0.0119357593589969,0.0790332070767336,0.0950832833008123
"19","mean_goals_home",0.00411367045227796,0.0282403001278376,0.023176810819577
"20","mean_goals_curr_away",0.0068175266860289,0.0556756622340758,0.022728410932017
"21","mean_deep_past_home",0.0000159048449262431,0.000114068278975409,0.000901811644687356
"22","mean_shotsOnTarget_home",0.0032283330466717,0.023287442698768,0.0216410141877595
"23","mean_deep_home",0.0011518750030825,0.00871272483118965,0.0165238204661208
"24","mean_corners_past_home",0.00273703539360416,0.0214142162116116,0.0266249592526881
"25","mean_corners_curr_away",0.00821624178146413,0.0534376867715652,0.0668645484353108
"26","cnt_prv_wins_away",0.00401431339174119,0.0280581272232601,0.0431166616577039
"27","mean_shots_past_home",0.000469007454204468,0.00338970699428429,0.0520039601438417
"28","mean_ppda_past_home",0.0016927920872777,0.0123558835279714,0.021730775293236
"29","mean_ppda_away",0.0142753105831266,0.119472317451138,0.013174061681486
"30","mean_deep_curr_home",0.000169902834308333,0.00120499430491021,0.00287957732698997
"31","mean_corners_home",0.000221473243612308,0.00156549628895562,0.000917081665694839
"32","mean_shots_home",0.0117864727542162,0.0879827897292406,0.0169496624574481
"33","cnt_prv_wins_home",0.0057332217598234,0.0379938643244864,0.0158858339309785
"34","mean_ppda_home",0.000680336807010561,0.00489096475448075,0.000027362190608008
"35","mean_ppda_curr_away",0.00166386384531287,0.0116397030308568,0.0210639022212221
"36","mean_fouls_away",0.00609748306016043,0.0452330923856582,0.198305709894941
"37","mean_goals_curr_home",0.00165606446256591,0.011368448145832,0.0273318120366201
"38","mean_ppda_curr_home",0.00152203662578537,0.0110267853301223,0.0231988481548976
"39","mean_shotsOnTarget_curr_home",0.000390662033737602,0.00289459052115586,0.00617740631339891
"40","mean_corners_curr_home",0.00286516162687107,0.0223840007944157,0.0211993313801385
"41","mean_shots_curr_home",0.00921155163930435,0.0588121498707016,0.0968140917138157
"42","mean_redCards_away",0.000000184616662116075,0.00000133328781191634,0.00239502440969858
"43","mean_yellowCards_home",0.00101532151706993,0.00680439023008808,0.201099306106793
"44","mean_fouls_home",0.00618180378906108,0.0454851942234336,0.199853773052507
"45","mean_redCards_home",0.0070259181011518,0.0451790555722942,0.172691990250023
"46","mean_yellowCards_away",0.000517293087309279,0.00366462366299307,0.21409824019844
"47","mean_fouls_past_away",0.0127741022105726,0.10490248678433,0.0353754951480056
"48","mean_fouls_past_home",0.0156903616424349,0.132207675558907,0.0304030098968651
"49","mean_fouls_curr_away",0.00550448777903048,0.0365420548151804,0.377629266021676
"50","mean_redCards_curr_away",0.0107665184012725,0.0790919840948519,0.110164963110489
"51","mean_yellowCards_past_away",0.00564219273796756,0.0436457706707764,0.0375705851633009
"52","mean_redCards_past_away",0.0176422572164896,0.104875820983566,0.150099445289519
"53","mean_yellowCards_curr_away",0.0158649239705357,0.144174800645311,0.00336457856350379
"54","mean_yellowCards_past_home",0.00440423993239097,0.0284246159240331,0.0468907602797307
"55","days_since_prv_game_home",0.00016047844947105,0.00117372665737074,0.00853416205425228
